priority,name,lifeDates,artworkCount,slug,status,note
"233","Rafael Canogar","1935-","4","rafael-canogar","necesita imagen",""
"234","Salvador Puig","1875-1944","4","salvador-puig","necesita imagen",""
"235","Silvia Villagrán","1950-","4","silvia-villagran","necesita imagen",""
"236","Valentín De Zubiaurre","1887-1967","4","valentin-de-zubiaurre","necesita imagen",""
"237","Alfred Hrdlicka","1928-2009","3","alfred-hrdlicka","necesita imagen",""
"238","Alfredo Boilot","1880-1900","3","alfredo-boilot","necesita imagen",""
"239","Alvaro Amengual","1957-","3","alvaro-amengual","necesita imagen",""
"240","Ambrosio Luis Ramasso","1873-","3","ambrosio-luis-ramasso","necesita imagen",""
"241","Ana Salcovsky","1947-","3","ana-salcovsky","necesita imagen",""
"242","Ángel L. Panosetti","1911-2008","3","angel-l-panosetti","necesita imagen",""
"243","Ángel Medina Medina","1914-1980","3","angel-medina-medina","necesita imagen",""
"244","Antoni Clavé","1913-2005","3","antoni-clave","necesita imagen",""
"245","Antoni Tàpies","1923-2012","3","antoni-tapies","necesita imagen",""
"246","Antonio de Ignacios","1893-1963","3","antonio-de-ignacios","necesita imagen",""
"247","Antonio Pezzino","1921-2004","3","antonio-pezzino","necesita imagen",""
"248","Atilio Buriano","1943-","3","atilio-buriano","necesita imagen",""
"249","Augusto Gadea","1989-","3","augusto-gadea","necesita imagen",""
"250","Aurora Togores","-1988","3","aurora-togores","necesita imagen",""
"251","Baltasar Verazzi","1819-1886","3","baltasar-verazzi","necesita imagen",""
"252","Carlos Fossatti","1928-1981","3","carlos-fossatti","necesita imagen",""
"253","Carlos Prunell","1943-","3","carlos-prunell","necesita imagen",""
"254","Carlos Seijo","1862-1956","3","carlos-seijo","necesita imagen",""
"255","Carmen Garayalde","1913-2002","3","carmen-garayalde","necesita imagen",""
"256","Clarel Neme","1926-2004","3","clarel-neme","necesita imagen",""
"257","Clemen Salazar Echevarria","1899-","3","clemen-salazar-echevarria","necesita imagen",""
"258","Clever Lara","1952-","3","clever-lara","necesita imagen",""
"259","Clorindo Testa","1923-2013","3","clorindo-testa","necesita imagen",""
"260","Dante Capece","1913-1979","3","dante-capece","necesita imagen",""
"261","Denry Torres","1923-1984","3","denry-torres","necesita imagen",""
"262","Eduardo Chillida Juantegui","1924-2002","3","eduardo-chillida-juantegui","necesita imagen",""
"263","Eduardo Gandós","1921-1986","3","eduardo-gandos","necesita imagen",""
"264","Elsa Andrada","1920-2010","3","elsa-andrada","necesita imagen",""
"265","Enrique Sene","1889-","3","enrique-sene","necesita imagen",""
"266","Enrique Volpe Jordan","1912-","3","enrique-volpe-jordan","necesita imagen",""
"267","Ernesto Cristiani","1928-1989","3","ernesto-cristiani","necesita imagen",""
"268","Esteban Roberto Garino","1919-","3","esteban-roberto-garino","necesita imagen",""
"269","Federico Renóm","1862-1897","3","federico-renom","necesita imagen",""
"270","Felipe Seade","1912-1969","3","felipe-seade","necesita imagen",""
"271","Fernand Léger","1881-1955","3","fernand-leger","necesita imagen",""
"272","Fernando Álvarez Cozzi","1953-","3","fernando-alvarez-cozzi","necesita imagen",""
"273","G. Alessandro Lupo","1876-1953","3","g-alessandro-lupo","necesita imagen",""
"274","Georg Eisler","1928-1998","3","georg-eisler","necesita imagen",""
"275","Gerardo Ruiz Barreiro","1963-","3","gerardo-ruiz-barreiro","necesita imagen",""
"276","Glauco Telis","1926-","3","glauco-telis","necesita imagen",""
"277","Hermenegildo Sábat (Menchi)","1933-2018","3","hermenegildo-sabat-menchi","necesita imagen",""
"278","Honoré Daumier","1808-1879","3","honore-daumier","necesita imagen",""
"279","Horacio Espondaburu","1855-1902","3","horacio-espondaburu","necesita imagen",""
"280","Hugo Sartore","1934-2014","3","hugo-sartore","necesita imagen",""
"281","Jaime Jorge Aldao","1926-","3","jaime-jorge-aldao","necesita imagen",""
"282","Jaime Nowinski","1934-2022","3","jaime-nowinski","necesita imagen",""
"283","Javier Bassi","1964-","3","javier-bassi","necesita imagen",""
"284","José Cziffery","1902-1962","3","jose-cziffery","necesita imagen",""
"285","José Erman","1936-","3","jose-erman","necesita imagen",""
"286","José Guerrero","1914-1991","3","jose-guerrero","necesita imagen",""
"287","Juan D'Aniello","1891-1972","3","juan-d-aniello","necesita imagen",""
"288","Juan Storm","1927-1995","3","juan-storm","necesita imagen",""
"289","Julio Romero De Torres","1880-1930","3","julio-romero-de-torres","necesita imagen",""
"290","K.R.H. Sonderborg","1923-2008","3","k-r-h-sonderborg","necesita imagen",""
"291","Konrad Klapheck","1935-","3","konrad-klapheck","necesita imagen",""
"292","León Legat","1829-","3","leon-legat","necesita imagen",""
"293","Lino Dinetto","1927-","3","lino-dinetto","necesita imagen",""
"294","Luis Alberto Barriola","1909-","3","luis-alberto-barriola","necesita imagen",""
"295","Luis Arbondo","1939-2006","3","luis-arbondo","necesita imagen",""
"296","Luis Garrido Álvarez","1925-","3","luis-garrido-alvarez","necesita imagen",""
"297","Luis Graner","1863-1929","3","luis-graner","necesita imagen",""
"298","Luis Pedro Cantú","1883-1943","3","luis-pedro-cantu","necesita imagen",""
"299","Luis S. Scolpini","1896-1989","3","luis-s-scolpini","necesita imagen",""
"300","M. Ferrari","","3","m-ferrari","necesita imagen",""
"301","Marc Chagall","1887-1985","3","marc-chagall","necesita imagen",""
"302","María Clara Rossi","1944-","3","maria-clara-rossi","necesita imagen",""
"303","Miguel Ángel Echauri","1927-","3","miguel-angel-echauri","necesita imagen",""
"304","Miguel Ángel Pareja","1908-1984","3","miguel-angel-pareja","necesita imagen",""
"305","Miguel José De Vita","1923-2004","3","miguel-jose-de-vita","necesita imagen",""
"306","Miguel Tufano","1912-","3","miguel-tufano","necesita imagen",""
"307","Orosmán Américo Alonso","1927-1968","3","orosman-americo-alonso","necesita imagen",""
"308","Oscar Jorge Caraballo","1941-2014","3","oscar-jorge-caraballo","necesita imagen",""
"309","Pablo Damiani","1961-","3","pablo-damiani","necesita imagen",""
"310","Pablo Uribe","1962-","3","pablo-uribe","necesita imagen",""
"311","Pascasio Odiozábal","1870-","3","pascasio-odiozabal","necesita imagen",""
"312","Pedro Alonso","1921-","3","pedro-alonso","necesita imagen",""
"313","Pedro Peralta","1961-","3","pedro-peralta","necesita imagen",""
"314","Pierre Bonnard","1867-1947","3","pierre-bonnard","necesita imagen",""
"315","Ricardo Pascale","1942-2024","3","ricardo-pascale","necesita imagen",""
"316","Robert Motherwell","1915-1991","3","robert-motherwell","necesita imagen",""
"317","Roberto González del Blanco","1887-1959","3","roberto-gonzalez-del-blanco","necesita imagen",""
"318","Roberto Matta","1911-2002","3","roberto-matta","necesita imagen",""
"319","Ruben D. Galloza","1926-2002","3","ruben-d-galloza","necesita imagen",""
"320","Rufino Tamayo","1899-1991","3","rufino-tamayo","necesita imagen",""
"321","Santiago Rusiñol","1861-1931","3","santiago-rusinol","necesita imagen",""
"322","Santiago Tavella","1961-","3","santiago-tavella","necesita imagen",""
"323","Serapio Pérez de León","1926-","3","serapio-perez-de-leon","necesita imagen",""
"324","Stefano Ussi","1822-1901","3","stefano-ussi","necesita imagen",""
"325","Vicente Speranza","1890-1967","3","vicente-speranza","necesita imagen",""
"326","Walter Nadal","1935-","3","walter-nadal","necesita imagen",""
"327","Wasyl Rudyk","1901-","3","wasyl-rudyk","necesita imagen",""
"328","Yamandú Aldama","1931-1996","3","yamandu-aldama","necesita imagen",""
"329","Adolphe d´Hastrel de Rivedoux","1805-1874","2","adolphe-d-hastrel-de-rivedoux","necesita imagen",""
"330","Águeda Dicancro","1930-2019","2","agueda-dicancro","necesita imagen",""
"331","Alejandro Santiago","1964-2013","2","alejandro-santiago","necesita imagen",""
"332","Alfredo Esteban Bustamante Guerrero","1896-1962","2","alfredo-esteban-bustamante-guerrero","necesita imagen",""
"333","Alfredo Halegua","1930-","2","alfredo-halegua","necesita imagen",""
"334","Alfredo Harris Helsby Hazell","1862-1933","2","alfredo-harris-helsby-hazell","necesita imagen",""
"335","Alfredo Tedeschi Sartori","1900-1968","2","alfredo-tedeschi-sartori","necesita imagen",""
"336","Alvar Colombo","1942-","2","alvar-colombo","necesita imagen",""
"337","Amalia Corchs Quintela","1912-","2","amalia-corchs-quintela","necesita imagen",""
"338","Amanda Rímolo","","2","amanda-rimolo","necesita imagen",""
"339","Ambrosio Luis Garneray","1783-1857","2","ambrosio-luis-garneray","necesita imagen",""
"340","Andrés Etchebarne Bidart","1889-1931","2","andres-etchebarne-bidart","necesita imagen",""
"341","Angélica Togores","1907-1985","2","angelica-togores","necesita imagen",""
"342","Antonio Rafael Lista","1910-2000","2","antonio-rafael-lista","necesita imagen",""
"343","Antonio Seguí","1934-2022","2","antonio-segui","necesita imagen",""
"344","Antonio Slepak","1939-2016","2","antonio-slepak","necesita imagen",""
"345","Aristides Maillol","1861-1944","2","aristides-maillol","necesita imagen",""
"346","Artistas varios","","2","artistas-varios","necesita imagen",""
"347","Baldomero Galofre","1846-1902","2","baldomero-galofre","necesita imagen",""
"348","Bengt Hellgren","1928-","2","bengt-hellgren","necesita imagen",""
"349","Berta Burghi","1930-2021","2","berta-burghi","necesita imagen",""
"350","Berthe Morisot","1841-1895","2","berthe-morisot","necesita imagen",""
