priority,name,lifeDates,artworkCount,slug,status,note
"179","Augusto Torres","1913-1992","4","augusto-torres","necesita imagen",""
"180","Barthelemy Lauvergne","1805-1871","4","barthelemy-lauvergne","necesita imagen",""
"181","Bronislao José Tokarz","1907-1984","4","bronislao-jose-tokarz","necesita imagen",""
"182","Carlos Ramón Masini","1873-1939","4","carlos-ramon-masini","necesita imagen",""
"183","Dante Contestábile","1904-1939","4","dante-contestabile","necesita imagen",""
"184","David Alfaro Siqueiros","1896-1974","4","david-alfaro-siqueiros","necesita imagen",""
"185","Donato Di Lorenzo","1852-1937","4","donato-di-lorenzo","necesita imagen",""
"186","Eduardo Díaz Yepes","1909-1979","4","eduardo-diaz-yepes","necesita imagen",""
"187","Emilio Mas","1860-1928","4","emilio-mas","necesita imagen",""
"188","Francisco L. Musetti","1881-1976","4","francisco-l-musetti","necesita imagen",""
"189","Gaetano Parpagnoli","1869-1924","4","gaetano-parpagnoli","necesita imagen",""
"190","Gervasio Furest","1893-1968","4","gervasio-furest","necesita imagen",""
"191","Gladys Afamado","1925-2024","4","gladys-afamado","necesita imagen",""
"192","Glauco Capozzoli","1929-2003","4","glauco-capozzoli","necesita imagen",""
"193","Guiscardo Améndola","1906-1972","4","guiscardo-amendola","necesita imagen",""
"194","Gustavo Alamón Da Rosa","1935-2020","4","gustavo-alamon-da-rosa","necesita imagen",""
"195","Hector Escardó","1866-1896","4","hector-escardo","necesita imagen",""
"196","Henri Matisse","1869-1954","4","henri-matisse","necesita imagen",""
"197","Hugo Longa","1934-1990","4","hugo-longa","necesita imagen",""
"198","Hugo Nantes","1933-2009","4","hugo-nantes","necesita imagen",""
"199","José Enrique Bravo","1901-1944","4","jose-enrique-bravo","necesita imagen",""
"200","Josep Hurtuna","1913-1978","4","josep-hurtuna","necesita imagen",""
"201","Juan Antonio Torrents","1915-","4","juan-antonio-torrents","necesita imagen",""
"202","Julio Alpuy","1919-2009","4","julio-alpuy","necesita imagen",""
"203","Julio Le Parc","1928-","4","julio-le-parc","necesita imagen",""
"204","Leopoldo Nóvoa","1919-2012","4","leopoldo-novoa","necesita imagen",""
"205","Lily Salvo","1928-2010","4","lily-salvo","necesita imagen",""
"206","Luis Alberto Gentieu Piotti","1909-","4","luis-alberto-gentieu-piotti","necesita imagen",""
"207","Luis Ernesto Aroztegui","1930-1994","4","luis-ernesto-aroztegui","necesita imagen",""
"208","Luis Maristany","1885-1964","4","luis-maristany","necesita imagen",""
"209","Luis Queirolo Repetto","1862-1947","4","luis-queirolo-repetto","necesita imagen",""
"210","Margarita Fabini de Camou","","4","margarita-fabini-de-camou","necesita imagen",""
"211","Mario César Pérez Cassia","1909-","4","mario-cesar-perez-cassia","necesita imagen",""
"212","Mario Lorieto","1919-2003","4","mario-lorieto","necesita imagen",""
"213","Máximo Alberto Lamela","1918-","4","maximo-alberto-lamela","necesita imagen",""
"214","Miguel Benzo","1879-1966","4","miguel-benzo","necesita imagen",""
"215","Nelsa Solano Gorga","1921-1984","4","nelsa-solano-gorga","necesita imagen",""
"216","Ofelia Oneto y Viana","1929-2019","4","ofelia-oneto-y-viana","necesita imagen",""
"217","Paul Berne","1924-","4","paul-berne","necesita imagen",""
"218","Plinio Baptista Brum","1892-","4","plinio-baptista-brum","necesita imagen",""
"219","Rafael Canogar","1935-","4","rafael-canogar","necesita imagen",""
"220","Salvador Puig","1875-1944","4","salvador-puig","necesita imagen",""
"221","Silvia Villagrán","1950-","4","silvia-villagran","necesita imagen",""
"222","Valentín De Zubiaurre","1887-1967","4","valentin-de-zubiaurre","necesita imagen",""
"223","Alfred Hrdlicka","1928-2009","3","alfred-hrdlicka","necesita imagen",""
"224","Alfredo Boilot","1880-1900","3","alfredo-boilot","necesita imagen",""
"225","Alvaro Amengual","1957-","3","alvaro-amengual","necesita imagen",""
"226","Ambrosio Luis Ramasso","1873-","3","ambrosio-luis-ramasso","necesita imagen",""
"227","Ana Salcovsky","1947-","3","ana-salcovsky","necesita imagen",""
"228","Ángel L. Panosetti","1911-2008","3","angel-l-panosetti","necesita imagen",""
"229","Ángel Medina Medina","1914-1980","3","angel-medina-medina","necesita imagen",""
"230","Antoni Clavé","1913-2005","3","antoni-clave","necesita imagen",""
"231","Antoni Tàpies","1923-2012","3","antoni-tapies","necesita imagen",""
"232","Antonio de Ignacios","1893-1963","3","antonio-de-ignacios","necesita imagen",""
"233","Antonio Pezzino","1921-2004","3","antonio-pezzino","necesita imagen",""
"234","Atilio Buriano","1943-","3","atilio-buriano","necesita imagen",""
"235","Augusto Gadea","1989-","3","augusto-gadea","necesita imagen",""
"236","Aurora Togores","-1988","3","aurora-togores","necesita imagen",""
"237","Baltasar Verazzi","1819-1886","3","baltasar-verazzi","necesita imagen",""
"238","Carlos Fossatti","1928-1981","3","carlos-fossatti","necesita imagen",""
"239","Carlos Prunell","1943-","3","carlos-prunell","necesita imagen",""
"240","Carlos Seijo","1862-1956","3","carlos-seijo","necesita imagen",""
"241","Carmen Garayalde","1913-2002","3","carmen-garayalde","necesita imagen",""
"242","Clarel Neme","1926-2004","3","clarel-neme","necesita imagen",""
"243","Clemen Salazar Echevarria","1899-","3","clemen-salazar-echevarria","necesita imagen",""
"244","Clever Lara","1952-","3","clever-lara","necesita imagen",""
"245","Clorindo Testa","1923-2013","3","clorindo-testa","necesita imagen",""
"246","Dante Capece","1913-1979","3","dante-capece","necesita imagen",""
"247","Denry Torres","1923-1984","3","denry-torres","necesita imagen",""
"248","Eduardo Chillida Juantegui","1924-2002","3","eduardo-chillida-juantegui","necesita imagen",""
"249","Eduardo Gandós","1921-1986","3","eduardo-gandos","necesita imagen",""
"250","Elsa Andrada","1920-2010","3","elsa-andrada","necesita imagen",""
"251","Enrique Sene","1889-","3","enrique-sene","necesita imagen",""
"252","Enrique Volpe Jordan","1912-","3","enrique-volpe-jordan","necesita imagen",""
"253","Ernesto Cristiani","1928-1989","3","ernesto-cristiani","necesita imagen",""
"254","Esteban Roberto Garino","1919-","3","esteban-roberto-garino","necesita imagen",""
"255","Federico Renóm","1862-1897","3","federico-renom","necesita imagen",""
"256","Felipe Seade","1912-1969","3","felipe-seade","necesita imagen",""
"257","Fernand Léger","1881-1955","3","fernand-leger","necesita imagen",""
"258","Fernando Álvarez Cozzi","1953-","3","fernando-alvarez-cozzi","necesita imagen",""
"259","G. Alessandro Lupo","1876-1953","3","g-alessandro-lupo","necesita imagen",""
"260","Georg Eisler","1928-1998","3","georg-eisler","necesita imagen",""
"261","Gerardo Ruiz Barreiro","1963-","3","gerardo-ruiz-barreiro","necesita imagen",""
"262","Glauco Telis","1926-","3","glauco-telis","necesita imagen",""
"263","Hermenegildo Sábat (Menchi)","1933-2018","3","hermenegildo-sabat-menchi","necesita imagen",""
"264","Honoré Daumier","1808-1879","3","honore-daumier","necesita imagen",""
"265","Horacio Espondaburu","1855-1902","3","horacio-espondaburu","necesita imagen",""
"266","Hugo Sartore","1934-2014","3","hugo-sartore","necesita imagen",""
"267","Jaime Jorge Aldao","1926-","3","jaime-jorge-aldao","necesita imagen",""
"268","Jaime Nowinski","1934-2022","3","jaime-nowinski","necesita imagen",""
"269","Javier Bassi","1964-","3","javier-bassi","necesita imagen",""
"270","José Cziffery","1902-1962","3","jose-cziffery","necesita imagen",""
"271","José Erman","1936-","3","jose-erman","necesita imagen",""
"272","José Guerrero","1914-1991","3","jose-guerrero","necesita imagen",""
"273","Juan D'Aniello","1891-1972","3","juan-d-aniello","necesita imagen",""
"274","Juan Storm","1927-1995","3","juan-storm","necesita imagen",""
"275","Julio Romero De Torres","1880-1930","3","julio-romero-de-torres","necesita imagen",""
"276","K.R.H. Sonderborg","1923-2008","3","k-r-h-sonderborg","necesita imagen",""
"277","Konrad Klapheck","1935-","3","konrad-klapheck","necesita imagen",""
"278","León Legat","1829-","3","leon-legat","necesita imagen",""
"279","Lino Dinetto","1927-","3","lino-dinetto","necesita imagen",""
"280","Luis Alberto Barriola","1909-","3","luis-alberto-barriola","necesita imagen",""
"281","Luis Arbondo","1939-2006","3","luis-arbondo","necesita imagen",""
"282","Luis Garrido Álvarez","1925-","3","luis-garrido-alvarez","necesita imagen",""
"283","Luis Graner","1863-1929","3","luis-graner","necesita imagen",""
"284","Luis Pedro Cantú","1883-1943","3","luis-pedro-cantu","necesita imagen",""
"285","Luis S. Scolpini","1896-1989","3","luis-s-scolpini","necesita imagen",""
"286","M. Ferrari","","3","m-ferrari","necesita imagen",""
"287","Marc Chagall","1887-1985","3","marc-chagall","necesita imagen",""
"288","María Clara Rossi","1944-","3","maria-clara-rossi","necesita imagen",""
"289","Miguel Ángel Echauri","1927-","3","miguel-angel-echauri","necesita imagen",""
"290","Miguel Ángel Pareja","1908-1984","3","miguel-angel-pareja","necesita imagen",""
"291","Miguel José De Vita","1923-2004","3","miguel-jose-de-vita","necesita imagen",""
"292","Miguel Tufano","1912-","3","miguel-tufano","necesita imagen",""
"293","Orosmán Américo Alonso","1927-1968","3","orosman-americo-alonso","necesita imagen",""
"294","Oscar Jorge Caraballo","1941-2014","3","oscar-jorge-caraballo","necesita imagen",""
"295","Pablo Damiani","1961-","3","pablo-damiani","necesita imagen",""
"296","Pablo Uribe","1962-","3","pablo-uribe","necesita imagen",""
"297","Pascasio Odiozábal","1870-","3","pascasio-odiozabal","necesita imagen",""
"298","Pedro Alonso","1921-","3","pedro-alonso","necesita imagen",""
"299","Pedro Peralta","1961-","3","pedro-peralta","necesita imagen",""
"300","Pierre Bonnard","1867-1947","3","pierre-bonnard","necesita imagen",""
"301","Ricardo Pascale","1942-2024","3","ricardo-pascale","necesita imagen",""
"302","Robert Motherwell","1915-1991","3","robert-motherwell","necesita imagen",""
"303","Roberto González del Blanco","1887-1959","3","roberto-gonzalez-del-blanco","necesita imagen",""
"304","Roberto Matta","1911-2002","3","roberto-matta","necesita imagen",""
"305","Ruben D. Galloza","1926-2002","3","ruben-d-galloza","necesita imagen",""
"306","Rufino Tamayo","1899-1991","3","rufino-tamayo","necesita imagen",""
"307","Santiago Rusiñol","1861-1931","3","santiago-rusinol","necesita imagen",""
"308","Santiago Tavella","1961-","3","santiago-tavella","necesita imagen",""
"309","Serapio Pérez de León","1926-","3","serapio-perez-de-leon","necesita imagen",""
"310","Stefano Ussi","1822-1901","3","stefano-ussi","necesita imagen",""
"311","Vicente Speranza","1890-1967","3","vicente-speranza","necesita imagen",""
"312","Walter Nadal","1935-","3","walter-nadal","necesita imagen",""
"313","Wasyl Rudyk","1901-","3","wasyl-rudyk","necesita imagen",""
"314","Yamandú Aldama","1931-1996","3","yamandu-aldama","necesita imagen",""
"315","Adolphe d´Hastrel de Rivedoux","1805-1874","2","adolphe-d-hastrel-de-rivedoux","necesita imagen",""
"316","Águeda Dicancro","1930-2019","2","agueda-dicancro","necesita imagen",""
"317","Alejandro Santiago","1964-2013","2","alejandro-santiago","necesita imagen",""
"318","Alfredo Esteban Bustamante Guerrero","1896-1962","2","alfredo-esteban-bustamante-guerrero","necesita imagen",""
"319","Alfredo Halegua","1930-","2","alfredo-halegua","necesita imagen",""
"320","Alfredo Harris Helsby Hazell","1862-1933","2","alfredo-harris-helsby-hazell","necesita imagen",""
"321","Alfredo Tedeschi Sartori","1900-1968","2","alfredo-tedeschi-sartori","necesita imagen",""
"322","Alvar Colombo","1942-","2","alvar-colombo","necesita imagen",""
"323","Amalia Corchs Quintela","1912-","2","amalia-corchs-quintela","necesita imagen",""
"324","Amanda Rímolo","","2","amanda-rimolo","necesita imagen",""
"325","Ambrosio Luis Garneray","1783-1857","2","ambrosio-luis-garneray","necesita imagen",""
"326","Andrés Etchebarne Bidart","1889-1931","2","andres-etchebarne-bidart","necesita imagen",""
"327","Angélica Togores","1907-1985","2","angelica-togores","necesita imagen",""
"328","Antonio Rafael Lista","1910-2000","2","antonio-rafael-lista","necesita imagen",""
"329","Antonio Seguí","1934-2022","2","antonio-segui","necesita imagen",""
"330","Antonio Slepak","1939-2016","2","antonio-slepak","necesita imagen",""
"331","Aristides Maillol","1861-1944","2","aristides-maillol","necesita imagen",""
"332","Artistas varios","","2","artistas-varios","necesita imagen",""
"333","Baldomero Galofre","1846-1902","2","baldomero-galofre","necesita imagen",""
"334","Bengt Hellgren","1928-","2","bengt-hellgren","necesita imagen",""
"335","Berta Burghi","1930-2021","2","berta-burghi","necesita imagen",""
"336","Berthe Morisot","1841-1895","2","berthe-morisot","necesita imagen",""
"337","Brenda Lissardy","1907-1992","2","brenda-lissardy","necesita imagen",""
"338","Bruno Widmann","1930-2017","2","bruno-widmann","necesita imagen",""
"339","Carlos Arboleda","1929-2021","2","carlos-arboleda","necesita imagen",""
"340","Carlos Corsetti","1823-1903","2","carlos-corsetti","necesita imagen",""
"341","Carlos María Herrera (hijo)","1904-1968","2","carlos-maria-herrera-hijo","necesita imagen",""
"342","Carlos Páez Vilaró","1923-2014","2","carlos-paez-vilaro","necesita imagen",""
"343","Carlos Seveso","1954-","2","carlos-seveso","necesita imagen",""
"344","Carlos Washington Aliseris Genta","1898-1974","2","carlos-washington-aliseris-genta","necesita imagen",""
"345","Carmelo Arden Quin","1913-2010","2","carmelo-arden-quin","necesita imagen",""
"346","Cayetano Gallino","1804-1884","2","cayetano-gallino","necesita imagen",""
"347","Cecilia Brugnini","1943-","2","cecilia-brugnini","necesita imagen",""
"348","Celia Giacosa","","2","celia-giacosa","necesita imagen",""
"349","Cesáreo Bernaldo de Quirós","1879-1968","2","cesareo-bernaldo-de-quiros","necesita imagen",""
"350","Charles Martin Sauvaigo","1881-1970","2","charles-martin-sauvaigo","necesita imagen",""
"351","Clarina Vicens","1938-","2","clarina-vicens","necesita imagen",""
